,university,journal,issn,access,notes
0,brandon-cleaned,3 BIOTECH,2190-572X,0,
1,brandon-cleaned,ACTA ADRIATICA,0001-5113,0,
2,brandon-cleaned,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1,
3,brandon-cleaned,ACTA BOREALIA,0800-3831,1,
4,brandon-cleaned,ACTA BOTANICA BRASILICA,0102-3306,0,
5,brandon-cleaned,ACTA BOTANICA GALLICA,1253-8078,0,
6,brandon-cleaned,ACTA CHIROPTEROLOGICA,1508-1109,0,
7,brandon-cleaned,ACTA HERPETOLOGICA,1827-9635,0,
8,brandon-cleaned,ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,0,
9,brandon-cleaned,ACTA OCEANOLOGICA SINICA,0253-505X,0,
10,brandon-cleaned,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1,
11,brandon-cleaned,ACTA ORNITHOLOGICA,0001-6454,0,
12,brandon-cleaned,ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,0,
13,brandon-cleaned,ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,1644-0730,0,
14,brandon-cleaned,ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,0,
15,brandon-cleaned,ACTA THERIOLOGICA,0001-7051,0,
16,brandon-cleaned,ACTA TROPICA,0001-706X,1,
17,brandon-cleaned,ACTA ZOOLOGICA BULGARICA,0324-0770,1,
18,brandon-cleaned,ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,0,
19,brandon-cleaned,ADVANCES IN NURSING SCIENCE,0161-9268,1,
20,brandon-cleaned,ADVANCES IN SPACE RESEARCH,0273-1177,1,
21,brandon-cleaned,ADVANCES IN WATER RESOURCES,0309-1708,1,
22,brandon-cleaned,AEOLIAN RESEARCH,1875-9637,0,
23,brandon-cleaned,AEROBIOLOGIA,0393-5965,0,
24,brandon-cleaned,AFRICAN ENTOMOLOGY,1021-3589,0,
25,brandon-cleaned,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,1991-637X,1,
26,brandon-cleaned,AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,0,
27,brandon-cleaned,AFRICAN JOURNAL OF BIOTECHNOLOGY,1684-5315,1,
28,brandon-cleaned,AFRICAN JOURNAL OF ECOLOGY,0141-6707,1,
29,brandon-cleaned,AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,0,
30,brandon-cleaned,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,0,
31,brandon-cleaned,AFRICAN JOURNAL OF WILDLIFE RESEARCH,2410-7220,0,
32,brandon-cleaned,AFRICAN ZOOLOGY,1562-7020,1,
33,brandon-cleaned,AGRICULTURAL AND FOOD SCIENCE,1459-6067,0,
34,brandon-cleaned,AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1,
35,brandon-cleaned,AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,1,
36,brandon-cleaned,AGRICULTURAL ECONOMICS,0169-5150,0,
37,brandon-cleaned,AGRICULTURAL SCIENCE AND PRACTICE,2312-3370,0,
38,brandon-cleaned,AGRICULTURAL SYSTEMS,0308-521X,1,
39,brandon-cleaned,AGRICULTURAL WATER MANAGEMENT,0378-3774,1,
40,brandon-cleaned,AGRICULTURE AND HUMAN VALUES,0889-048X,0,
41,brandon-cleaned,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1,
42,brandon-cleaned,AGROCIENCIA,1405-3195,1,
43,brandon-cleaned,AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,2168-3565,0,
44,brandon-cleaned,AGROFORESTRY SYSTEMS,0167-4366,0,
45,brandon-cleaned,AGRONOMIE,0249-5627,0,
46,brandon-cleaned,AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1774-0746,0,
47,brandon-cleaned,AGRONOMY JOURNAL,0002-1962,0,
48,brandon-cleaned,AIMS ENVIRONMENTAL SCIENCE,2372-0344,1,
49,brandon-cleaned,AIMS MICROBIOLOGY,2471-1888,1,
50,brandon-cleaned,ALPINE BOTANY,1664-2201,0,
51,brandon-cleaned,AMBIO,0044-7447,1,
52,brandon-cleaned,AMERICAN ANTHROPOLOGIST,0002-7294,1,
53,brandon-cleaned,AMERICAN BEHAVIORAL SCIENTIST,0002-7642,1,
54,brandon-cleaned,AMERICAN BIOLOGY TEACHER,0002-7685,1,
55,brandon-cleaned,AMERICAN FERN JOURNAL,0002-8444,1,
